Sample	is_sorted	maximum_first_fragment_length	sequences	bases_mapped_(cigar)	bases_mapped	reads_QC_failed_percent	raw_total_sequences	reads_MQ0	reads_unmapped	1st_fragments	total_length	inward_oriented_pairs	total_first_fragment_length	error_rate	reads_duplicated_percent	insert_size_average	reads_mapped_percent	reads_QC_failed	mismatches	reads_paired_percent	supplementary_alignments	filtered_sequences	average_first_fragment_length	reads_mapped	reads_mapped_and_paired_percent	average_quality	average_last_fragment_length	reads_mapped_and_paired	reads_unmapped_percent	total_last_fragment_length	insert_size_standard_deviation	bases_duplicated	outward_oriented_pairs	percentage_of_properly_paired_reads_(%)	reads_paired	reads_MQ0_percent	reads_properly_paired	reads_duplicated	pairs_on_different_chromosomes	average_length	last_fragments	maximum_length	pairs_with_other_orientation	reads_properly_paired_percent	non-primary_alignments	maximum_last_fragment_length	bases_trimmed
SRX298300	1.0	100.0	52633948.0	5054047792.0	5078536584.0	0.0	52633948.0	703069.0	0.0	26343606.0	5078536584.0	26234419.0	2576082978.0	0.005589791	47.34582706963194	667.3	100.0	0.0	28251073.0	100.0	0.0	0.0	98.0	52633948.0	99.8423678953363	35.9	95.0	52550980.0	0.0	2502453606.0	1135.7	2389985776.0	41071.0	99.8	52633948.0	1.335770974276906	52550980.0	24919978.0	0.0	96.0	26290342.0	100.0	0.0	99.8423678953363	11071809.0	100.0	0.0
SRX298301	1.0	100.0	21816657.0	2088467007.0	2104342586.0	0.0	21816657.0	184244.0	0.0	10926854.0	2104342586.0	10849547.0	1068323368.0	0.00540635	85.06528750028018	803.4	100.0	0.0	11290983.0	100.0	0.0	0.0	98.0	21816657.0	99.65928327149297	35.9	95.0	21742324.0	0.0	1036019218.0	1399.8	1786107270.0	21615.0	99.7	21816657.0	0.8445106874073328	21742324.0	18558402.0	0.0	96.0	10889803.0	100.0	0.0	99.65928327149297	3494730.0	100.0	0.0
SRX298302	1.0	100.0	80198534.0	7713150729.0	7750712504.0	0.0	80198534.0	769697.0	0.0	40140896.0	7750712504.0	39968376.0	3927702772.0	0.00527633	54.6253838006565	677.8	100.0	0.0	40697130.0	100.0	0.0	0.0	98.0	80198534.0	99.83467029459666	35.9	95.0	80065942.0	0.0	3823009732.0	1182.3	4212777689.0	64595.0	99.8	80198534.0	0.9597394885048648	80065942.0	43808757.0	0.0	96.0	40057638.0	100.0	0.0	99.83467029459666	11440686.0	100.0	0.0
SRX298303	1.0	100.0	76805438.0	7377949347.0	7416522804.0	0.0	76805438.0	904447.0	0.0	38439716.0	7416522804.0	38309721.0	3759675405.0	0.005600836	46.42456827080395	681.8	100.0	0.0	41322680.0	100.0	0.0	0.0	98.0	76805438.0	99.85510661367493	35.8	95.0	76694152.0	0.0	3656847399.0	1193.8	3426275969.0	37355.0	99.9	76805438.0	1.177581983192388	76694152.0	35656593.0	0.0	96.0	38365722.0	100.0	0.0	99.85510661367493	13501616.0	100.0	0.0
SRX298304	1.0	100.0	44231599.0	4240029354.0	4259963886.0	0.0	44231599.0	376134.0	0.0	22138791.0	4259963886.0	22026284.0	2159936174.0	0.004846956	55.59789733127215	642.3	100.0	0.0	20551237.0	100.0	0.0	0.0	98.0	44231599.0	99.82495545774866	35.7	95.0	44154174.0	0.0	2100027712.0	1122.6	2353496075.0	50803.0	99.8	44231599.0	0.8503739600279882	44154174.0	24591839.0	0.0	96.0	22092808.0	100.0	0.0	99.82495545774866	7038560.0	100.0	0.0
SRX298305	1.0	100.0	57264557.0	5492552657.0	5519453202.0	0.0	57264557.0	471683.0	0.0	28663134.0	5519453202.0	28514183.0	2798279064.0	0.004814008	51.49485047094663	635.9	100.0	0.0	26441193.0	100.0	0.0	0.0	98.0	57264557.0	99.81661431520374	35.7	95.0	57159542.0	0.0	2721174138.0	1119.0	2824036068.0	65588.0	99.8	57264557.0	0.8236909961601554	57159542.0	29488298.0	0.0	96.0	28601423.0	100.0	0.0	99.81661431520374	8491785.0	100.0	0.0
SRX298306	1.0	100.0	75377204.0	7209668290.0	7244937802.0	0.0	75377204.0	751555.0	0.0	37731388.0	7244937802.0	37574944.0	3681024706.0	0.004909681	44.11964391780836	696.2	100.0	0.0	35397173.0	100.0	0.0	0.0	98.0	75377204.0	99.82801962248428	35.6	95.0	75247570.0	0.0	3563913096.0	1169.6	3172585853.0	48841.0	99.8	75377204.0	0.997058739403494	75247570.0	33256154.0	0.0	96.0	37645816.0	100.0	0.0	99.82801962248428	12514035.0	100.0	0.0
SRX298307	1.0	100.0	55287121.0	5307962236.0	5331674601.0	0.0	55287121.0	613631.0	0.0	27673408.0	5331674601.0	27556006.0	2703005069.0	0.005215258	50.778469727154	681.4	100.0	0.0	27682392.0	100.0	0.0	0.0	98.0	55287121.0	99.8299585901751	35.8	95.0	55193110.0	0.0	2628669532.0	1158.0	2690629472.0	40549.0	99.8	55287121.0	1.109898632630916	55193110.0	28073954.0	0.0	96.0	27613713.0	100.0	0.0	99.8299585901751	8576757.0	100.0	0.0
SRX298308	1.0	100.0	43010368.0	4140633173.0	4162103471.0	0.0	43010368.0	313320.0	0.0	21541532.0	4162103471.0	21409039.0	2107168251.0	0.005319004	51.56668503743097	723.4	100.0	0.0	22024044.0	100.0	0.0	0.0	98.0	43010368.0	99.72355037743458	36.3	96.0	42891466.0	0.0	2054935220.0	1203.7	2136295023.0	36694.0	99.7	43010368.0	0.7284755154850105	42891466.0	22179021.0	0.0	96.0	21468836.0	100.0	0.0	99.72355037743458	5134470.0	100.0	0.0
SRX298309	1.0	100.0	46195074.0	4445215363.0	4468313887.0	0.0	46195074.0	214776.0	0.0	23134624.0	4468313887.0	23000872.0	2266177740.0	0.005286448	56.93007007630294	756.3	100.0	0.0	23499398.0	100.0	0.0	0.0	98.0	46195074.0	99.75480935478099	36.1	95.0	46081808.0	0.0	2202136147.0	1201.5	2530547339.0	40032.0	99.8	46195074.0	0.4649326895763821	46081808.0	26298888.0	0.0	96.0	23060450.0	100.0	0.0	99.75480935478099	3509912.0	100.0	0.0
