	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298286_1 - Adapter 1	12308792	3614911	728318	194869	80752	26475	6880	3044	4071	3210	2452	1967	1480	1476	1400	1282	1372	1407	943	1076	1013	1093	979	970	869	819	892	852	887	832	585	658	633	728	840	782	770	886	721	856	1267	698	594	379	797	1094	650	604	577	518	791	876	930	508	448	707	828	927	1072	778	917	1302	2363	2401	1166	1378	1783	2844	4831	7657	3498	2333	1098	668	300	185	199	142	121	87	91	136	121	81	56	54	131	71	65	45	78	107	29	41	63	36	197	24	28	27
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298286_2 - Adapter 1	11857536	3518917	679166	183704	76039	26066	7442	3138	4161	3437	2312	2163	1656	2039	1182	1390	1919	904	1156	1105	550	979	981	1733	829	994	875	1183	714	1739	174	530	374	370	488	498	544	652	623	608	774	1349	422	654	1056	582	533	439	457	785	1069	346	280	487	608	453	661	1373	911	1127	1338	2369	7097	9363	8792	2749	606	195	126	72	85	103	87	103	71	70	144	95	89	67	69	125	138	61	51	60	113	66	57	54	76	76	37	37	51	41	176	27	23	19
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298287_1 - Adapter 1	7884167	2160388	464841	138253	48838	16686	4132	1730	2486	2098	2697	1389	905	979	819	888	853	880	598	670	614	678	669	701	661	614	627	614	747	799	418	475	604	706	629	866	781	472	791	745	1396	1402	960	343	306	405	521	616	405	436	617	408	578	863	867	404	402	665	663	809	970	766	872	1319	2218	2405	1145	1099	1647	2602	4576	6263	2674	1790	868	486	225	135	97	54	57	116	77	43	25	47	61	20	32	36	52	60	23	23	39	25	93	26	10	29
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298287_2 - Adapter 1	7621943	2117625	437654	132926	46522	16674	4495	1874	2646	2494	2374	1543	1055	1405	737	965	1207	579	817	664	335	568	717	1248	592	701	593	787	604	1324	132	389	302	315	366	355	435	468	567	551	673	1197	361	616	949	466	458	382	422	783	975	305	202	405	549	411	551	1259	754	1022	1215	2149	6535	8578	7579	2429	429	182	109	42	54	89	40	72	40	43	83	47	69	51	45	89	66	39	32	47	63	33	36	32	50	67	26	14	41	18	96	11	9	6
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298288_1 - Adapter 1	4344791	1202921	257692	69030	26978	8825	3091	1576	1832	1637	1279	1147	935	1000	939	895	988	976	688	811	746	778	749	757	713	654	799	789	787	831	591	555	702	619	778	706	724	782	1140	1084	1205	813	485	391	619	844	636	636	614	593	977	823	854	672	556	863	834	808	1124	902	962	1446	2195	2519	1486	1674	1965	2900	5090	7875	5828	6694	4186	2970	798	248	159	76	68	33	34	61	62	42	23	38	50	47	26	32	37	53	30	27	36	25	109	16	10	54
