Sample	Samtools_mqc-generalstats-samtools-mapped_passed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped_percent	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	QualiMap_mqc-generalstats-qualimap-5_3_bias	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-mapped_passed_pct	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	Samtools_mqc-generalstats-samtools-error_rate	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-reads_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Samtools_mqc-generalstats-samtools-flagstat_total	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-raw_total_sequences
SRX298283_1		97.28240744883875	2.8259401552529826	100					27.27272727272727	23422674.0	27.27272727272727	72.87476953509054			72.09232554194594		46.0	100	46.0					23018890.0	100.0			
SRX298283_2		95.44421690185756	5.683071070365407	100					27.27272727272727	23422674.0	27.27272727272727	70.57041001434305			69.9879620175714		46.0	100	46.0					23018890.0	100.0			
SRX298284	64284290				78.68	28322803.0	0.9709740678301125	1.89					7531384.0	100.0		0.005181894				0.416203	100.0	27107099.0	64284290			99.81093479160344	56752906.0	56752906.0
SRX298284_1		97.23011504781485	2.8987533844060693	100					27.27272727272727	35142429.0	27.27272727272727	75.44587152587295			74.44400387541627		47.0	100	47.0					34452371.0	100.0			
SRX298284_2		94.76424835898813	6.5746403300693865	100					27.27272727272727	35142429.0	27.27272727272727	72.30766530472431			71.36323863607959		47.0	100	47.0					34452371.0	100.0			
SRX298285	59951610				77.88	25296980.0	1.2598279558585972	1.87					9281358.0	100.0		0.005178716				0.348505	100.0	23729472.0	59951610			99.84943433871219	50670252.0	50670252.0
SRX298285_1		97.33556865765179	2.7410220306565183	100					27.27272727272727	31081416.0	27.27272727272727	73.2605389873764			72.24093959346203		48.0	100	48.0					30469255.0	100.0			
SRX298285_2		94.70486396861361	6.666102213618581	100					27.27272727272727	31081416.0	27.27272727272727	69.80278184829481			68.98765900671428		48.0	100	48.0					30469255.0	100.0			
SRX298286	104236724				84.46	47031221.0	0.6567547922005428	2.33					10045862.0	100.0		0.004679243				0.405714	100.0	45232644.0	104236724			99.86365981022661	94190862.0	94190862.0
SRX298286_1		97.31954125778563	2.7839175936212617	100					27.27272727272727	54737219.0	27.27272727272727	77.2399970920831			76.13688110221369		48.0	100	48.0					53554086.0	100.0			
SRX298286_2		94.60694987867032	6.9416390518487985	100					27.27272727272727	54737219.0	27.27272727272727	73.12913202952814			72.35276295252058		48.0	100	48.0					53554086.0	100.0			
SRX298287	66120271				77.59	27907819.0	0.9730364972796678	1.96					10211474.0	100.0		0.005018719				0.395546	100.0	25726926.0	66120271			99.83337327039965	55908797.0	55908797.0
SRX298287_1		97.2729738162529	2.836788294294797	100					27.27272727272727	33778674.0	27.27272727272727	74.26304971324794			73.25776068299356		47.0	100	47.0					33158814.0	100.0			
SRX298287_2		95.07611514694102	6.161067838246108	100					27.27272727272727	33778674.0	27.27272727272727	71.20841131705977			70.30516681912754		47.0	100	47.0					33158814.0	100.0			
SRX298288	34475616				81.13	15476288.0	0.6903632276826863	1.84					3464984.0	100.0		0.005260704				0.284447	100.0	14910041.0	34475616			99.81278678873748	31010632.0	31010632.0
SRX298288_1		97.20546858101646	2.978742150505325	100					27.27272727272727	18763469.0	27.27272727272727	67.13336091818312			66.41201744386149		47.0	100	47.0					18377345.0	100.0			
SRX298288_2		95.46150523919532	5.9827536155494485	100					27.27272727272727	18763469.0	27.27272727272727	64.84755987459607			64.277793633897		47.0	100	47.0					18377345.0	100.0			
SRX298289	33118919				76.0	13522692.0	1.372231909182255	2.07					6028090.0	100.0		0.005739921				0.423301	100.0	12464687.0	33118919			99.83224950406648	27090829.0	27090829.0
SRX298289_1		97.15322963834184	3.23344212441632	100					27.27272727272727	16791511.0	27.27272727272727	73.12817297218733			72.49554366600663		50.0	100	50.0					16400985.0	100.0			
SRX298289_2		95.5378283682352	6.131318795550919	100					27.27272727272727	16791511.0	27.27272727272727	70.93048140911694			70.63122752012666		50.0	100	50.0					16400985.0	100.0			
SRX298290	36322528				64.1	14996124.0	1.2622673323332956	2.05					6281665.0	100.0		0.005855163				0.527341	100.0	13787433.0	36322528			99.83817042805994	30040863.0	30040863.0
SRX298290_1		97.20082393043307	3.076606813330532	100					27.27272727272727	21990420.0	27.27272727272727	79.93437167904068			79.32447380001568		49.0	100	49.0					21508612.0	100.0			
SRX298290_2		95.39330738775705	6.165813567908208	100					27.27272727272727	21990420.0	27.27272727272727	77.42701689375215			77.00958405242223		49.0	100	49.0					21508612.0	100.0			
SRX298291	39448111				82.27	16286336.0	1.1014471363589045	1.99					6844549.0	100.0		0.005750592				0.462843	100.0	14818393.0	39448111			99.90525575089005	32603562.0	32603562.0
SRX298291_1		97.74361450278268	2.3055678751548703	100					27.27272727272727	18349262.0	27.27272727272727	75.42013048702292			74.67800726959426		52.0	100	52.0					18011440.0	100.0			
SRX298291_2		95.58139082716318	5.739863815776351	100					27.27272727272727	18349262.0	27.27272727272727	72.52896571255405			71.9130971230742		52.0	100	51.0					18011440.0	100.0			
SRX298292	31012786				66.67	13387909.0	0.8866203000993197	1.88					4195331.0	100.0		0.005548768				0.388916	100.0	12613076.0	31012786			99.84473918199919	26817455.0	26817455.0
SRX298292_1		97.22639398126667	3.0775740458422938	100					27.27272727272727	19361553.0	27.27272727272727	75.50891349530279			74.69474341215982		48.0	100	48.0					18918798.0	100.0			
SRX298292_2		95.07609352348918	6.554035722237778	100					27.27272727272727	19361553.0	27.27272727272727	72.52998812501276			72.14076149853213		48.0	100	47.0					18918798.0	100.0			
SRX298293	34792785				56.18	14778993.0	1.1946364246694317	2.0					5179926.0	100.0		0.005334531				0.479031	100.0	14012655.0	34792785			99.81469874286708	29612859.0	29612859.0
SRX298293_1		97.28662709718392	3.0919458223568395	100					18.181818181818183	25548915.0	18.181818181818183	79.79731665589392			79.02230188826631		48.0	100	48.0					24941780.0	100.0			
SRX298293_2		95.09175151091863	6.61846450230861	100					18.181818181818183	25548915.0	18.181818181818183	76.71361205908597			76.27860290538919		48.0	100	48.0					24941780.0	100.0			
SRX298294	55379052				81.2	23515562.0	0.9937033385052595	2.07					8284413.0	100.0		0.005327953				0.472296	100.0	22005550.0	55379052			99.86513326920289	47094639.0	47094639.0
SRX298294_1		97.46831516543023	2.697588620610129	100					27.27272727272727	27672626.0	27.27272727272727	75.78253201024137			74.95506297551174		50.0	100	50.0					27101183.0	100.0			
SRX298294_2		95.1575433441411	6.302609409023921	100					27.27272727272727	27672626.0	27.27272727272727	72.9019507051247			72.33747873411548		50.0	100	50.0					27101183.0	100.0			
SRX298295	97819728				80.63	43436325.0	0.9143507145715115	1.92					10857473.0	100.0		0.005554771				0.656065	100.0	41738929.0	97819728			99.89696104361599	86962255.0	86962255.0
SRX298295_1		97.73689636914045	2.301615478584567	100					27.27272727272727	52665384.0	27.27272727272727	81.83165432890348			80.93452596219402		47.0	100	47.0					51766530.0	100.0			
SRX298295_2		95.61903252931963	5.565307090516989	100					27.27272727272727	52665384.0	27.27272727272727	79.04972029807492			78.24188998049146		47.0	100	47.0					51766530.0	100.0			
SRX298296	31883017				72.6	13664845.0	1.275631438365437	1.72					4500970.0	100.0		0.005366612				0.373448	100.0	13098003.0	31883017			99.80879077448081	27382047.0	27382047.0
SRX298296_1		97.35898696963054	2.779920529622487	100					27.27272727272727	18367347.0	27.27272727272727	69.90701817095928			69.21865870623199		46.0	100	46.0					18041315.0	100.0			
SRX298296_2		95.84354931999137	5.334897685550341	100					27.27272727272727	18367347.0	27.27272727272727	67.56713999218321			67.02658623417815		46.0	100	46.0					18041315.0	100.0			
SRX298297	51967019				77.2	22866594.0	1.03045823685267	1.8					6159049.0	100.0		0.005414214				0.330351	100.0	22035169.0	51967019			99.83674893255476	45807970.0	45807970.0
SRX298297_1		97.41350089074726	2.723725638019505	100					27.27272727272727	29113961.0	27.27272727272727	72.64994327308519			72.01277843953017		46.0	100	46.0					28543450.0	100.0			
SRX298297_2		95.86818587101419	5.484267015401993	100					27.27272727272727	29113961.0	27.27272727272727	69.9604057873589			69.65290975885674		46.0	100	46.0					28543450.0	100.0			
SRX298298	29864489				79.28	12858165.0	0.8971768690605619	2.11					4108475.0	100.0		0.005466583				0.417688	100.0	11984648.0	29864489			99.84592336376274	25756014.0	25756014.0
SRX298298_1		97.27558055296403	3.0278905196147274	100					27.27272727272727	15447041.0	27.27272727272727	71.592852969695			70.84170603605298		49.0	100	49.0					15117656.0	100.0			
SRX298298_2		95.3341875221926	6.1541781367706605	100					27.27272727272727	15447041.0	27.27272727272727	68.95127459912959			68.37734371659485		49.0	100	49.0					15117656.0	100.0			
SRX298299	30247138				66.06	12401136.0	1.1537481837038728	1.95					5412256.0	100.0		0.005531137				0.335858	100.0	11218151.0	30247138			99.8686927523956	24834882.0	24834882.0
SRX298299_1		97.67597853196136	2.44161192194942	100					27.27272727272727	17293145.0	27.27272727272727	73.8658867505938			73.21383312367094		48.0	100	48.0					16982455.0	100.0			
SRX298299_2		95.66259212816992	5.587078637228798	100					27.27272727272727	17293145.0	27.27272727272727	71.31285122417687			70.75538356451204		48.0	100	48.0					16982455.0	100.0			
SRX298300	63705757				76.63	26275490.0	1.335770974276906	1.98					11071809.0	100.0		0.005589791				0.473458	100.0	24214369.0	63705757			99.8423678953363	52633948.0	52633948.0
SRX298300_1		97.3001628320466	2.9077720641427836	100					27.27272727272727	32269008.0	27.27272727272727	76.81140853883069			76.0258919263907		48.0	100	48.0					31600045.0	100.0			
SRX298300_2		94.98227227208062	6.445445828393609	100					36.36363636363637	32269008.0	36.36363636363637	73.86857390315457			73.12392911645017		48.0	100	48.0					31600045.0	100.0			
SRX298301	25311387				76.63	10871162.0	0.8445106874073328	2.42					3494730.0	100.0		0.00540635				0.850653	100.0	10131086.0	25311387			99.65928327149297	21816657.0	21816657.0
SRX298301_1		96.65286820732031	3.6995165756975936	100					18.181818181818183	13601509.0	27.27272727272727	85.29619317175839			84.38907596204925		47.0	100	47.0					13219930.0	100.0			
SRX298301_2		94.55049610701418	7.410759644389457	100					18.181818181818183	13601509.0	36.36363636363637	81.31541518723571			80.98724373455042		47.0	100	47.0					13219930.0	100.0			
SRX298302	91639220				82.83	40032971.0	0.9597394885048648	1.88					11440686.0	100.0		0.00527633				0.546254	100.0	37723277.0	91639220			99.83467029459666	80198534.0	80198534.0
SRX298302_1		97.38998281694808	2.7484834341469115	100					27.27272727272727	46536390.0	27.27272727272727	79.31073423575484			78.40986722196591		49.0	100	49.0					45541386.0	100.0			
SRX298302_2		95.0870847013747	6.433783196333021	100					27.27272727272727	46536390.0	36.36363636363637	75.83785231841654			75.35101966510601		49.0	100	49.0					45541386.0	100.0			
SRX298303	90307054				80.53	38347076.0	1.177581983192388	1.91					13501616.0	100.0		0.005600836				0.464246	100.0	35529896.0	90307054			99.85510661367493	76805438.0	76805438.0
SRX298303_1		97.44393806201799	2.7299356248496993	100					27.27272727272727	45001526.0	27.27272727272727	78.21692728584446			77.31711900406026		49.0	100	49.0					44120585.0	100.0			
SRX298303_2		95.05158583006096	6.3250077341821695	100					36.36363636363637	45001526.0	36.36363636363637	75.04304756991425			74.35977356963437		49.0	100	49.0					44120585.0	100.0			
SRX298304	51270159				74.22	22077087.0	0.8503739600279882	2.03					7038560.0	100.0		0.004846956				0.555979	100.0	20656786.0	51270159			99.82495545774866	44231599.0	44231599.0
SRX298304_1		97.02917432795958	3.1691477694823584	100					27.27272727272727	28445684.0	27.27272727272727	78.49130628297789			77.60001414915826		47.0	100	47.0					27832552.0	100.0			
SRX298304_2		94.98435853097482	6.4708581801021205	100					27.27272727272727	28445684.0	27.27272727272727	75.89320294994377			75.19846050851957		47.0	100	46.0					27832552.0	100.0			
