	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298285_1 - Adapter 1	0.9152151883942482	1.0778191057962094	0.8590600046824124	0.909120859751688	1.5135950765824682	2.2210800980469676	1.6504137894681357	3.1267130508117225	15.691399662731873	47.9054054054054	146.08108108108107	437.89473684210526	1350.0	1348.0	1236.0	1056.0	1092.0	1138.0	788.0	864.0	856.0	954.0	922.0	826.0	752.0	680.0	752.0	764.0	858.0	804.0	480.0	554.0	550.0	674.0	670.0	680.0	480.0	748.0	990.0	1148.0	1296.0	652.0	434.0	324.0	732.0	956.0	606.0	508.0	512.0	458.0	668.0	852.0	808.0	384.0	402.0	454.0	740.0	744.0	878.0	606.0	762.0	900.0	2026.0	1738.0	844.0	1046.0	1316.0	2060.0	3830.0	6602.0	3098.0	2212.0	958.0	540.0	368.0	136.0	162.0	126.0	96.0	74.0	84.0	82.0	142.0	44.0	114.0	46.0	54.0	56.0	52.0	46.0	62.0	54.0	22.0	56.0	426.0	106.0	184.0	34.0	26.0	28.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298285_2 - Adapter 1	0.8817132398343757	1.0514522246991578	0.800849011555922	0.8535578914075896	1.4236860398841626	2.217653725521204	1.7315903220705289	3.272190596668775	16.374367622259697	53.24324324324324	139.05405405405403	468.42105263157896	1388.0	1864.0	1002.0	1150.0	1592.0	682.0	946.0	898.0	394.0	818.0	842.0	1500.0	730.0	814.0	654.0	1026.0	562.0	1572.0	168.0	464.0	298.0	354.0	418.0	434.0	500.0	484.0	604.0	558.0	604.0	1184.0	338.0	540.0	786.0	520.0	492.0	356.0	432.0	752.0	910.0	296.0	210.0	378.0	528.0	362.0	538.0	1078.0	782.0	902.0	1160.0	1934.0	6188.0	7808.0	7550.0	2304.0	504.0	210.0	108.0	96.0	56.0	138.0	100.0	100.0	150.0	60.0	146.0	104.0	86.0	68.0	82.0	96.0	116.0	54.0	116.0	70.0	64.0	58.0	48.0	52.0	58.0	64.0	22.0	56.0	306.0	74.0	188.0	22.0	28.0	12.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298286_1 - Adapter 1	0.8994824494116792	1.0566590127399091	0.8515659985337947	0.9113808845215051	1.5106736034332129	1.9811278398036456	2.0593253314975004	3.6446360153256703	19.49712643678161	61.49425287356321	187.17557251908397	596.0606060606061	1850.0	1845.0	1750.0	1602.5	1715.0	1758.75	1178.75	1345.0	1266.25	1366.25	1223.75	1212.5	1086.25	1023.75	1115.0	1065.0	1108.75	1040.0	731.25	822.5	791.25	910.0	1050.0	977.5	962.5	1107.5	901.25	1070.0	1583.75	872.5	742.5	473.75	996.25	1367.5	812.5	755.0	721.25	647.5	988.75	1095.0	1162.5	635.0	560.0	883.75	1035.0	1158.75	1340.0	972.5	1146.25	1627.5	2953.75	3001.25	1457.5	1722.5	2228.75	3555.0	6038.75	9571.25	4372.5	2916.25	1372.5	835.0	375.0	231.25	248.75	177.5	151.25	108.75	113.75	170.0	151.25	101.25	70.0	67.5	163.75	88.75	81.25	56.25	97.5	133.75	36.25	51.25	78.75	45.0	246.25	30.0	35.0	33.75
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298286_2 - Adapter 1	0.8665062765921436	1.0285994214335243	0.7940963603264002	0.8591634072640522	1.422504831229667	1.9505223143464336	2.227543476308779	3.757183908045977	19.92816091954023	65.84291187739463	176.4885496183206	655.4545454545455	2070.0	2548.75	1477.5	1737.5	2398.75	1130.0	1445.0	1381.25	687.5	1223.75	1226.25	2166.25	1036.25	1242.5	1093.75	1478.75	892.5	2173.75	217.5	662.5	467.5	462.5	610.0	622.5	680.0	815.0	778.75	760.0	967.5	1686.25	527.5	817.5	1320.0	727.5	666.25	548.75	571.25	981.25	1336.25	432.5	350.0	608.75	760.0	566.25	826.25	1716.25	1138.75	1408.75	1672.5	2961.25	8871.25	11703.75	10990.0	3436.25	757.5	243.75	157.5	90.0	106.25	128.75	108.75	128.75	88.75	87.5	180.0	118.75	111.25	83.75	86.25	156.25	172.5	76.25	63.75	75.0	141.25	82.5	71.25	67.5	95.0	95.0	46.25	46.25	63.75	51.25	220.0	33.75	28.75	23.75
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRX298287_1 - Adapter 1	0.9336265834472958	1.023314544831624	0.8807279688695429	1.0477847695946658	1.4805226301270198	2.02335479646404	2.0041713149342777	3.3566162204113312	19.286268425135763	65.15527950310559	332.962962962963	694.5	1810.0	1958.0	1638.0	1776.0	1706.0	1760.0	1196.0	1340.0	1228.0	1356.0	1338.0	1402.0	1322.0	1228.0	1254.0	1228.0	1494.0	1598.0	836.0	950.0	1208.0	1412.0	1258.0	1732.0	1562.0	944.0	1582.0	1490.0	2792.0	2804.0	1920.0	686.0	612.0	810.0	1042.0	1232.0	810.0	872.0	1234.0	816.0	1156.0	1726.0	1734.0	808.0	804.0	1330.0	1326.0	1618.0	1940.0	1532.0	1744.0	2638.0	4436.0	4810.0	2290.0	2198.0	3294.0	5204.0	9152.0	12526.0	5348.0	3580.0	1736.0	972.0	450.0	270.0	194.0	108.0	114.0	232.0	154.0	86.0	50.0	94.0	122.0	40.0	64.0	72.0	104.0	120.0	46.0	46.0	78.0	50.0	186.0	52.0	20.0	58.0
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
