Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10k+	>1k	>500	>10	>5k	>100	>50
SRX298300_2										4.266500520635833	9.728212261869274	5.5659325642332504	14.816692632178638	2.888491263716955	14.104694317781705	6.152833082391611
SRX298301_1										0.6669787040154355	7.085319677683179	4.6538197515903965	23.738540762626254	1.1578522420617838	14.982724509891138	7.33044569928535
SRX298301_2										0.5139210671887445	6.589156157224943	4.6039701126330534	22.4296220607411	1.286408383200027	14.123301740178526	6.800361913688764
SRX298302_1										3.074993207256883	10.59554969626537	6.2081820340761675	17.513263230298175	2.274016136244356	15.353012577799843	6.758291770014512
SRX298302_2										2.8610346185611264	9.772036739558338	5.907430142565151	16.99337605399233	1.9867708114446543	14.769849670669382	6.643976396585784
SRX298303_1										3.9183149282098872	12.075976690497333	6.574870516494653	15.733098933619537	2.8991758444489375	15.44546171292561	6.46195709377763
SRX298303_2										3.630381729493357	11.172399031077886	6.292084316221816	15.460556627897724	2.5340369887205174	14.88381339776106	6.232435464005514
SRX298304_1										4.195311418035707	8.020852519775557	4.87432046294863	18.266950773460163	2.527685418540516	13.985923688400428	6.979012992787846
SRX298304_2										4.162344396622389	7.675414059537594	4.695538139421425	17.79575625570785	2.2371639397097653	13.276659329262014	6.815773128885925
SRX298305_1										2.853782725431848	8.184203353496876	4.703814862387942	19.349639412807335	1.869504079121182	13.422346800877188	6.880075886785154
SRX298305_2										2.6142009931545838	7.789982360930608	4.458994769272509	18.74360938721612	1.6564258527650513	12.874599118264276	6.733037581702403
SRX298306_1										4.908626426799663	9.89967879518196	4.803892719044673	17.533329766421556	2.9612466054384665	13.312087206692711	6.701903882053831
SRX298306_2										4.552839061449838	9.247498638548812	4.6006779325465725	17.136896525702426	2.720804624384347	12.813996867742572	6.263356951258471
SRX298307_1										2.854926749731124	5.950563839350752	4.08375037983891	21.645892735793915	1.5957550658791477	14.192973895234715	8.033492172434126
SRX298307_2										2.845383898985109	5.673537394345559	3.757142053142807	20.84528756670081	1.4886485237294729	13.494327211811866	7.648451563048956
SRX298308_1										1.1212026364065963	5.744106360427534	4.336817882610306	22.344690928769865	1.1986511409628342	15.32868030480676	8.126735963830702
SRX298308_2										1.09144110183367	5.467815202046477	4.033147689140921	21.562283040050787	1.0708559910293256	14.49015091789046	7.8789037250717
SRX298309_1										1.7108296939578513	5.511940884453952	3.7314042857034444	22.096650007070757	1.5158681875098432	13.182652360536753	7.773757216387699
SRX298309_2										1.6958163441426213	5.222188197789609	3.461288622974809	21.058342581769086	1.328747519668874	12.341164374091825	7.315558930377594
